WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;building;location;landuse/operator;operator/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((550219.746303077 5222359.04070844,546741.571000562 5219656.69833212));Sankt_Ruprecht_an_der_Raab;8181;Untere Hauptstra�e 27;47,1528156;15,6624561;103800082;substation;Umspannwerk Eggersdorf bei Graz (i.b.);;;Eggersdorf bei Graz;4404,583721
MULTILINESTRING ((554241.34959537 5194958.45666828,555481.805501765 5192433.50594464));Sankt_Stefan_im_Rosental;8421;Feldbacherstra�e 24;46,9059456;15,7122142;152299025;substation;Umspannwerk St. Stephan;;110000;St. Stefan im Rosental;2813,20227
MULTILINESTRING ((498307.033620603 5240440.3913355,500133.539313568 5245036.90258304));Sankt_Stefan_ob_Leoben;8714;Dorfplatz 14;47,3174319;14,9775986;92220396;substation;Umspannwerk Sankt Michael;STEWEAG-STEG;;Traboch;4946,113494
MULTILINESTRING ((519451.676069693 5197745.84794276,526334.513400467 5200332.90327156));Sankt_Stefan_ob_Stainz;8511;Sankt Stefan ob Stainz 19;46,93295925;15,2555376;103774165;substation;Umspannwerk Lieboch;;"110000;20000";Lieboch;7352,979328
MULTILINESTRING ((547831.597797248 5177364.33658088,547472.252591711 5173816.95920263));Sankt_Veit_in_der_S�dsteiermark;8481;Am Kirchplatz 13;46,7481176;15,6262153;127516438;substation;Kraftwerk Spielfeld;;;Straß in Steiermark;3565,531551
MULTILINESTRING ((583678.308318954 5258917.31611615,581517.455736419 5253097.48890966));Sch�ffern;2871;Dorfstra�e 7/3;47,4783132;16,1106162;195015816;substation;Umspannwerk Pinggau;;110000;Pinggau;6208,032909
MULTILINESTRING ((455433.985326457 5221811.6960868,451716.820207072 5220285.97194909));Scheifling;8811;Amtsplatz 1;47,14829755;14,41217313;132457784;substation;Umspannwerk Teufenbach;;;Teufenbach-Katsch;4018,102869
MULTILINESTRING ((401179.081207417 5249642.66327675,407406.156160591 5251855.61140442));Schladming;8970;Coburgstra�e 45;47,39275855;13,69052609;90431884;substation;Umspannwerk Haus;Energie Steiermark;;Haus;6608,6006
MULTILINESTRING ((433048.045901737 5225766.0293786,429079.706627848 5217624.98832818));Sch�der;8844;Sch�der 12;47,18198087;14,11634215;92686645;substation;Kraftwerk Bodendorf-Mur;;;St. Georgen am Kreischberg;9056,724903
MULTILINESTRING ((550030.085985275 5188015.17273952,555481.805501765 5192433.50594464));Schwarzautal;8422;Wolfsberg 125;46,843798;15,6561602;152299025;substation;Umspannwerk St. Stephan;;110000;St. Stefan im Rosental;7017,329549
MULTILINESTRING ((484052.12726688 5235790.94711382,488052.82127719 5229705.71259099));Seckau;8732;Seckau 63;47,27540303;14,78914421;92340887;substation;Umspannwerk Knittelfeld/Ost;;;Kobenz;7282,556678
MULTILINESTRING ((530685.675791357 5206414.61022528,531776.046521452 5209063.12242404));Seiersberg-Pirka;8144;Feldkirchner Stra�e 21;47,01054135;15,4037027;110540215;substation;Umspannwerk Graz-West (i.b.);;110000;Graz;2864,179672
MULTILINESTRING ((448151.018276002 5266690.31818342,443904.576461962 5268379.69040436));Selzthal;8900;Selzthal 37;47,5515627;14,31088084;91071153;substation;Umspannwerk Liezen;STEWEAG-STEG;110000;Liezen;4570,147326
MULTILINESTRING ((530607.479902244 5229392.8320828,524445.980859832 5228060.6854106));Semriach;8102;Markt 27;47,2173113;15,4042367;96176841;substation;Umspannwerk Deutschfeistritz;;;Deutschfeistritz;6303,862721
