WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;landuse/name;name;substation/voltage;building/operator;Polit. Gemeinde;distance
MULTILINESTRING ((366756.770888509 5225087.39432986,356460.90169972 5223683.99416528));Hüttschlag;5612;Hüttschlag 19;47,16579056;13,24192333;88844733;UW Angertal;substation;110000;Salzburg AG;Bad Hofgastein;10391,07571
MULTILINESTRING ((360261.021666177 5242484.84718564,359276.632633128 5241896.80183696));Schwarzach_im_Pongau;5620;Marktplatz 1;47,320911;13,1508212;83803297;Umspannwerk Flusskraftwerk Schwarzach (i.b.);substation;110000;;Schwarzach im Pongau;1146,655615
MULTILINESTRING ((360508.484490154 5243400.34779384,359276.632633128 5241896.80183696));Sankt_Veit_im_Pongau;5621;Markt 12;47,3291974;13,1538072;83803297;Umspannwerk Flusskraftwerk Schwarzach (i.b.);substation;110000;;Schwarzach im Pongau;1943,73595
MULTILINESTRING ((356362.212812646 5242345.95999855,359276.632633128 5241896.80183696));Goldegg;5622;Hofmark 18;47,3188181;13,0993015;83803297;Umspannwerk Flusskraftwerk Schwarzach (i.b.);substation;110000;;Schwarzach im Pongau;2948,827893
MULTILINESTRING ((356537.580226508 5225788.897384,356460.90169972 5223683.99416528));Bad_Hofgastein;5630;Kurpromenade 2;47,1699515;13,1069349;88844733;UW Angertal;substation;110000;Salzburg AG;Bad Hofgastein;2106,299399
MULTILINESTRING ((356396.681954479 5234008.78498732,359276.632633128 5241896.80183696));Dorfgastein;5632;Dorfgastein Nr. 84;47,24384635;13,1024412;83803297;Umspannwerk Flusskraftwerk Schwarzach (i.b.);substation;110000;;Schwarzach im Pongau;8397,316579
MULTILINESTRING ((358408.694962257 5218820.70443728,356894.032175 5216509.74249271));Bad_Gastein;5640;Karl-Heinrich-Waggerl-Straße 29;47,1076865;13,1338066;659744850;Kraftwerk Böckstein (i.b.);;;;Bad Gastein;2763,10486
MULTILINESTRING ((350298.388816753 5249851.26578243,339965.021601871 5254225.60247259));Dienten_am_Hochkönig;5652;Dorf 22;47,3849535;13,01658165;112481895;Umspannwerk Saalfelden am Seinernen Meer (i.b.);substation;110000;;Saalfelden am Steinernen Meer;11221,10955
MULTILINESTRING ((350382.858078492 5239671.37612453,359276.632633128 5241896.80183696));Lend;5660;Lend 41;47,29342668;13,02112498;83803297;Umspannwerk Flusskraftwerk Schwarzach (i.b.);substation;110000;;Schwarzach im Pongau;9167,9739
MULTILINESTRING ((348164.53034406 5232639.1329837,356460.90169972 5223683.99416528));Rauris;5661;Marktstraße 30;47,2296767;12,9941941;88844733;UW Angertal;substation;110000;Salzburg AG;Bad Hofgastein;12207,55049
MULTILINESTRING ((335523.63277342 5239276.30600046,334542.94210292 5239212.4588193));Bruck_an_der_Großglocknerstraße;5662;Raiffeisenstraße 6;47,2863133;12,8248777;93483694;Umspannwerk Bruck;substation;110000;Salzburg AG;Bruck an der Großglocknerstraße;982,7668359
MULTILINESTRING ((346031.984144081 5239742.36466242,334542.94210292 5239212.4588193));Taxenbach;5662;Gemeindeamt Taxenbach;47,2930572;12,9635915;93483694;Umspannwerk Bruck;substation;110000;Salzburg AG;Bruck an der Großglocknerstraße;11501,2559
MULTILINESTRING ((335297.449597965 5232620.80540102,334542.94210292 5239212.4588193));Fusch_an_der_Großglocknerstraße;5672;Zeller Fusch 125;47,2264112;12,8243426;93483694;Umspannwerk Bruck;substation;110000;Salzburg AG;Bruck an der Großglocknerstraße;6634,694895
MULTILINESTRING ((333473.585762445 5243448.00281618,335108.511707958 5246148.08997842));Zell_am_See;5700;Brucker Bundesstraße 2;47,323306;12,7962281;108120142;Umspannwerk Maishofen;substation;110000;;Maishofen;3156,493867
MULTILINESTRING ((330430.131654311 5237778.15478412,329195.820136331 5236456.05876393));Kaprun;5710;Gemeindeamt Kaprun;47,2715449;12,75814011;38821658;Umspannwerk Kaprun;substation;"380000;220000;110000";Verbund Hydro Power, Austrian Power Grid AG;Kaprun;1808,718555
MULTILINESTRING ((327265.079283641 5240109.8620711,329195.820136331 5236456.05876393));Piesendorf;5721;Dorfstraße 15;47,29168365;12,71542642;38821658;Umspannwerk Kaprun;substation;"380000;220000;110000";Verbund Hydro Power, Austrian Power Grid AG;Kaprun;4132,55839
