WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;building:levels/name;name/operator;operator;addr:street/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((114416.559418909 5226631.33094731,114055.990464401 5225360.2614728));Schruns;6780;Kirchplatz 2;47,08039395;9,920134962;129643773;Umspannwerk Tschagguns;Vorarlberger Energienetze GmbH;substation;110000;Tschagguns;1321,222003
MULTILINESTRING ((105319.163290411 5268171.73143766,104042.79720888 5266653.24734656));Schwarzach;6858;Am Dorfplatz 2;47,4472679;9,764108;123384821;Umspannwerk Haselstauden;Vorarlberger Energienetze GmbH;substation;110000;Dornbirn;1983,659323
MULTILINESTRING ((111905.356576493 5264021.43470172,113528.73322546 5262501.52973154));Schwarzenberg;6867;Hof 454;47,41402505;9,854751645;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;2223,839667
MULTILINESTRING ((125675.992049037 5264443.47466179,113528.73322546 5262501.52973154));Sibratsgf�ll;6952;Dorf 18;47,4258463;10,0362447;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;12301,50589
MULTILINESTRING ((118939.104329466 5227928.53616252,114055.990464401 5225360.2614728));Silbertal;6782;Zentrum 256;47,0946457;9,9783858;129643773;Umspannwerk Tschagguns;Vorarlberger Energienetze GmbH;substation;110000;Tschagguns;5517,321443
MULTILINESTRING ((114260.592885502 5244372.65481453,107059.52771946 5235060.70106676));Sonntag;6731;Boden 57;47,2393181;9,9028632;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;11771,48343
MULTILINESTRING ((109944.71586268 5233589.41436092,107059.52771946 5235060.70106676));Stallehr;6700;Nr. 19;47,14013035;9,855440671;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;3238,671825
MULTILINESTRING ((95764.1528706559 5251075.48670498,93509.3718831871 5252987.25347897));Sulz;6832;Hummelbergstra�e 9;47,2882559;9,653458156;100478972;Umspannwerk Weiler - Klaus;Vorarlberger Energienetze GmbH;substation;110000;Weiler;2956,161278
MULTILINESTRING ((117049.894470565 5275629.76278995,112187.903122863 5270471.01383517));Sulzberg;6934;Dorf 1;47,52110233;9,912622967;40641599;Umspannwerk Vorderwald;Vorarlberger Energienetze GmbH;substation;110000;Alberschwende;7088,839866
MULTILINESTRING ((103574.406506807 5240654.21632481,99553.980663303 5239987.44775153));Th�ringen;6712;Dorfstra�e 21;47,1996395;9,7655434;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;4075,341003
MULTILINESTRING ((105063.05549721 5242318.96011427,99553.980663303 5239987.44775153));Th�ringerberg;6721;Jagdbergstra�e 270;47,2154525;9,7836496;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;5982,128001
MULTILINESTRING ((112985.157650922 5226389.45783037,114055.990464401 5225360.2614728));Tschagguns;6774;Latschaustra�e 1;47,0773893;9,9015607;129643773;Umspannwerk Tschagguns;Vorarlberger Energienetze GmbH;substation;110000;Tschagguns;1485,236701
MULTILINESTRING ((96793.090907624 5246999.06021326,94442.1698515025 5243777.31797934));�bersaxen;6834;Dorfstra�e 2;47,25236685;9,670684709;32293834;Umspannwerk Frastanz;;substation;110000;Frastanz;3988,289462
MULTILINESTRING ((110360.527083822 5228560.63391353,111480.573594751 5227275.14724356));Vandans;6773;Dorfstra�e 26;47,0953063;9,8652516;123174725;Umspannwerk Rodund I;Vorarlberger Illwerke AG;substation;;Vandans;1704,986852
MULTILINESTRING ((97500.1840214056 5252460.92640586,93509.3718831871 5252987.25347897));Viktorsberg;6836;Hauptstra�e 36;47,3017359;9,675067821;100478972;Umspannwerk Weiler - Klaus;Vorarlberger Energienetze GmbH;substation;110000;Weiler;4025,369761
MULTILINESTRING ((135594.522941798 5245085.59531337,137371.041977799 5256817.90555157));Warth;6767;Warth 32;47,25789;10,183135;118248006;Umspannwerk Riezlern (i.b.);;substation;110000;Mittelberg;11866,04919
MULTILINESTRING ((95578.6296608523 5253180.87107648,93509.3718831871 5252987.25347897));Weiler;6837;Walgaustra�e 1;47,3070038;9,6491072;100478972;Umspannwerk Weiler - Klaus;Vorarlberger Energienetze GmbH;substation;110000;Weiler;2078,296303
MULTILINESTRING ((104425.323403329 5270421.50776355,103587.997544169 5272725.64868818));Wolfurt;6922;Schulstra�e 1;47,4668852;9,7502896;114873634;Umspannwerk Rieden;Illwerke VKW;substation;110000;Bregenz;2451,566845
MULTILINESTRING ((96295.4205197468 5250713.58638183,93509.3718831871 5252987.25347897));Zwischenwasser;6835;Hauptstra�e 14;47,28534065;9,660780726;100478972;Umspannwerk Weiler - Klaus;Vorarlberger Energienetze GmbH;substation;110000;Weiler;3596,057435
