WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;landuse/name;substation/voltage;location/operator;Polit. Gemeinde;distance
MULTILINESTRING ((275291.172608951 5234208.66788548,265176.262490773 5235805.82192859));Gerlos;6281;Gerlos 141;47,2228995;12,03183171;156973414;Umspannwerk Zell am Ziller;"380000;220000;110000";Austrian Power Grid AG;Rohrberg;10240,22987
MULTILINESTRING ((265872.512308293 5234969.91335548,265176.262490773 5235805.82192859));Gerlosberg;6280;Nr. 42;47,226451;11,9072052;156973414;Umspannwerk Zell am Ziller;"380000;220000;110000";Austrian Power Grid AG;Rohrberg;1087,891057
MULTILINESTRING ((239735.3644907 5246549.71345842,242605.757109609 5244004.2778602));Gnadenwald;6069;Hnr. 51;47,32062955;11,5557939;312113570;Kraftwerk Haim;;;Wattens;3836,4562
MULTILINESTRING ((298891.431446076 5265755.01082713,294381.970894887 5267146.88355091));Going_am_Wilden_Kaiser;6353;Kirchplatz 1a;47,5141008;12,3289127;94552553;Umspannwerk Ellmau;110000;;Ellmau;4719,379635
MULTILINESTRING ((220791.029666558 5238069.85066117,221048.547501661 5240510.86658091));G�tzens;6091;Burgstra�e 3;47,2366821;11,3109151;106098365;Umspannwerk Völs;110000;TIWAG;Völs;2454,561907
MULTILINESTRING ((162249.980725273 5244779.70155092,163683.984437627 5230595.80189101));Gramais;6650;Nr. 16;47,26940135;10,53456705;102601926;Umspannwerk Landeck;110000;TIWAG;Landeck;14256,20483
MULTILINESTRING ((165181.397786248 5270166.13991414,179805.436860635 5268787.09566301));Gr�n;6673;Dorfstra�e 1;47,4986492;10,5540581;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;14688,91697
MULTILINESTRING ((232506.427271202 5215403.59979751,232355.655329337 5220437.2334971));Gries_am_Brenner;6156;Gries 73;47,0379818;11,4788802;42352281;Umspannwerk Steinach;110000;TIWAG-Netz AG;Steinach am Brenner;5035,891222
MULTILINESTRING ((208827.744887003 5234003.66328148,213733.375500649 5243144.303752));Gries_im_Sellrain;6182;Gries 17;47,1949818;11,1558499;147563007;Umspannwerk Zirl;110000;TIWAG;Zirl;10373,83824
MULTILINESTRING ((159984.768811831 5230622.26416254,158562.1639262 5228221.11320397));Grins;6591;Grins Nr. 57;47,1412284;10,515451;580543598;UW Tobadill;"110000;25000";TiNetz;Tobadill;2790,937224
MULTILINESTRING ((216571.802156679 5237622.33914159,221048.547501661 5240510.86658091));Grinzens;6095;Kirchgasse 7;47,2308569;11,2555728;106098365;Umspannwerk Völs;110000;TIWAG;Völs;5327,742454
MULTILINESTRING ((222772.357700526 5216557.79102421,232355.655329337 5220437.2334971));Gschnitz;6150;Hnr. 101;47,04433875;11,3503008;42352281;Umspannwerk Steinach;110000;TIWAG-Netz AG;Steinach am Brenner;10338,74593
MULTILINESTRING ((188501.56720428 5241831.19543601,187768.034554493 5240588.40410562));Haiming;6433;Siedlungsstra�e 2;47,25592675;10,88273855;95812161;APG Umspannwerk Westtirol;"380000;220000;110000";Austrian Power Grid AG;Haiming;1443,121769
