WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;location/substatoin;name/operator;operator;substation/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((427882.129828252 5304546.97608308,433749.443098255 5306426.87764843));Steinbach_am_Ziehberg;4562;Steinbach 4;47,8902;14,03525505;95025696;Umspannwerk Kirchdorf;;substation;110000;Kirchdorf an der Krems;6161,119614
MULTILINESTRING ((445286.508205565 5313199.26863713,451678.680324955 5310059.74586881));Steinbach_an_der_Steyr;4596;Ortsplatz 4;47,9697609;14,2669572;144202272;Kraftwerk Ternberg;;substation;110000;Ternberg;7121,549524
MULTILINESTRING ((422337.460879761 5325562.22619395,418100.149659851 5328386.32567644));Steinerkirchen_an_der_Traun;4652;Marktgemeinde Steinerkirchen an der Traun;48,07860035;13,9572935;118132395;Umspannwerk Lambach;Energie AG;substation;110000;Edt bei Lambach;5092,184626
MULTILINESTRING ((427078.22857247 5329738.7627351,430074.614552559 5335090.8112534));Steinhaus;4641;Gemeindeplatz 2;48,1167312;14,02022;40917240;EWW - Umspannwerk Ost;EWW;substation;110000;Wels;6133,73885
MULTILINESTRING ((456768.124930492 5320766.04906076,458185.812072397 5321235.85334358));Steyr;4407;Stadtplatz 27;48,0387158;14,4200142;33066588;Umspannwerk Steyr-Fischhub;;substation;110000;Steyr;1493,503564
MULTILINESTRING ((453364.034976133 5348201.06755033,451185.14650394 5346175.21171237));Steyregg;4221;Weissenwolffstra�e 3;48,2852924;14,37134;29563097;UW Hütte Süd 110kV;voestalpine Stahl GmbH;substation;110000;Linz;2975,171735
MULTILINESTRING ((384616.480805346 5307405.57755873,379504.955627984 5315171.84306707));Stra�_im_Attergau;4881;"Stra� i.&nbsp;A. 30";47,90959045;13,455888;95289063;Umspannwerk Frankenmarkt;;substation;110000;Weißenkirchen im Attergau;9297,449628
MULTILINESTRING ((422308.849216072 5354645.28602927,426414.927665978 5350422.0682324));Stroheim;4074;Stroheim 30;48,34020938;13,95158255;92870633;Umspannwerk Eferding;;substation;110000;Hinzenbach;5890,284271
MULTILINESTRING ((384423.722742609 5363046.12989756,385366.007561848 5367261.26050209));Suben;4975;Suben 50;48,40996582;13,43819008;95975628;Umspannwerk Aigerding;Energie AG;substation;110000;St. Florian am Inn;4319,169676
MULTILINESTRING ((394300.257153578 5346549.77810335,389677.978809151 5340781.44565609));Taiskirchen_im_Innkreis;4753;Hofmarkt 29;48,2633338;13,5757483;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;7391,827671
MULTILINESTRING ((338005.841183942 5325478.1551613,339129.827172203 5321800.89621722));Tarsdorf;5121;Tarsdorf 16;48,06199892;12,82570417;97870174;Umspannwerk Riedersbach;;substation;;St. Pantaleon;3845,201925
MULTILINESTRING ((391683.432087928 5362917.71546196,385366.007561848 5367261.26050209));Taufkirchen_an_der_Pram;4775;Sch�rdinger Stra�e 1;48,4101005;13,536291;95975628;Umspannwerk Aigerding;Energie AG;substation;110000;St. Florian am Inn;7666,566126
MULTILINESTRING ((407483.722524498 5344363.1255626,412292.417524792 5343247.1638294));Taufkirchen_an_der_Trattnach;4715;Taufkirchen 105;48,2457284;13,7538203;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;4936,488448
MULTILINESTRING ((452022.53271954 5310459.46111581,451678.680324955 5310059.74586881));Ternberg;4453;Kirchenplatz 12;47,9456522;14,3575048;144202272;Kraftwerk Ternberg;;substation;110000;Ternberg;527,2634521
MULTILINESTRING ((428451.017959268 5331656.67923653,430074.614552559 5335090.8112534));Thalheim_bei_Wels;4600;Gemeindeplatz 1;48,13414;14,0383401;40917240;EWW - Umspannwerk Ost;EWW;substation;110000;Wels;3798,59561
