WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;name;location/substation;substation/voltage;access/operator;Polit. Gemeinde;distance
MULTILINESTRING ((522149.059110864 5295754.10913214,519918.330124153 5303024.91094829));Mitterbach_am_Erlaufsee;3224;Hauptstra�e 14;47,8147585;15,2958647;122763233;substation;Umspannwerk Erlaufboden;110000;EVN;Mitterbach am Erlaufsee;7605,308071
MULTILINESTRING ((609660.087505256 5317076.8613321,609054.472060721 5320397.76164362));Mitterndorf_an_der_Fischa;2440;Hauptstra�e 21;47,9975811;16,4700109;25539735;substation;Umspannwerk Moosbrunn;110000;;Moosbrunn;3375,670148
MULTILINESTRING ((595458.146605486 5326596.02717522,597432.934043249 5326216.24325114));M�dling;2340;Pfarrgasse 9;48,08548305;16,28180728;25541069;substation;Umspannwerk Wr. Neudorf;110000;;Wiener Neudorf;2010,9752
MULTILINESTRING ((578103.370315423 5262249.75723863,584654.270618364 5273644.04281021));M�nichkirchen;7421;M�nichkirchen 18;47,50898628;16,03722627;96998954;substation;Umspannwerk Edlitz;110000;;Edlitz;13143,21264
MULTILINESTRING ((485146.209147904 5395237.4817511,499158.411928232 5400963.12544329));Moorbad_Harbach;3970;Moorbad Harbach 22;48,7099923;14,7980895;118938988;substation;Umspannwerk Gmünd;110000;EVN;Gmünd;15136,86964
MULTILINESTRING ((608949.638866252 5319472.08027779,609054.472060721 5320397.76164362));Moosbrunn;2441;Hauptplatz 9;48,01924575;16,46109893;25539735;substation;Umspannwerk Moosbrunn;110000;;Moosbrunn;931,5986205
MULTILINESTRING ((585305.170841802 5353585.24412844,589272.09822496 5360734.29702432));Muckendorf-Wipfing;3426;Bahnstra�e 3;48,3296922;16,150931;33631764;substation;Stockerau;110000;;Stockerau;8175,907911
MULTILINESTRING ((570155.223906131 5306722.51347529,578957.545144307 5302136.68766567));Muggendorf;2763;Hauptstr. 1;47,909989;15,93884748;106530735;substation;Umspannwerk Waldegg;110000;;Waldegg;9925,253525
MULTILINESTRING ((525666.050531029 5357788.81253375,519038.711898816 5349895.53807386));M�hldorf;3622;Markt 13;48,3727464;15,34657385;90904770;substation;Umspannwerk Am Schuss;;EVN;Weiten;10306,57067
MULTILINESTRING ((602671.310219257 5320122.45575959,602604.345242865 5314148.10230151));M�nchendorf;2482;Trumauerstra�e 1;48,02613545;16,37708347;122669259;substation;Umspannwerk Ebreichsdorf;110000;;Ebreichsdorf;5974,728743
