wkt_geom;osm_id;cables;name;voltage;wires;ref;operator;length
LineString (13.07127879999999998 46.64894880000000654, 13.07228239999999886 46.64878300000000877);596146271;1.0;;110000;1;113/6B;KNG-Kärnten Netz GmbH;79
LineString (13.07064459999999961 46.64934319999998991, 13.07079640000000076 46.64935279999999551, 13.07089550000000244 46.64935899999998981, 13.07099499999999992 46.64936529999999948);596146270;1.0;;110000;0;;;26,93
LineString (13.07065930000000264 46.6491737999999927, 13.07081759999999981 46.64918219999999138, 13.07091780000000014 46.64918759999999764, 13.07101940000000084 46.6491929999999968);596146269;1.0;;110000;0;;;27,65
LineString (13.27922910000000023 46.61729880000000747, 13.27896570000000054 46.61758409999999486);596172360;1.0;;110000;1;113/5B;KNG-Kärnten Netz GmbH;37,58
LineString (13.27922910000000023 46.61729880000000747, 13.2791125000000001 46.61762429999999569);596172359;1.0;;110000;1;113/7;KNG-Kärnten Netz GmbH;37,26
LineString (13.07089069999999964 46.64939660000000998, 13.07089550000000244 46.64935899999998981, 13.07091780000000014 46.64918759999999764, 13.07092929999999953 46.64909860000000918, 13.07094030000000018 46.64901389999999992, 13.07095119999999966 46.64892990000000594, 13.07095709999999933 46.64888469999999643);596146274;1.0;;110000;0;;;57,12
LineString (13.07106170000000134 46.64889300000000105, 13.07105559999999933 46.6489358999999908, 13.07104380000000177 46.64902000000000015, 13.07103180000000009 46.64910480000001058, 13.07101940000000084 46.6491929999999968, 13.07099499999999992 46.64936529999999948, 13.07098990000000249 46.64940159999999025);596146273;1.0;;110000;0;;;56,8
LineString (13.3798408000000002 46.6280557999999985, 13.37969679999999961 46.6284599999999898);596175872;1.0;UW Hermagor - UW Tröpolach / UW Vorderberg;110000;1;113/6A;KNG-Kärnten Netz GmbH;46,26
LineString (13.38005549999999921 46.62867090000001014, 13.38005800000000001 46.62861690000000436, 13.38006020000000262 46.62857009999998326, 13.3800656 46.6284562999999963);596175869;1.0;;110000;0;;;23,86
LineString (13.27896570000000054 46.61758409999999486, 13.27890149999999991 46.61768999999999608, 13.27882609999999985 46.61781419999999798, 13.27878900000000151 46.61787529999998725, 13.27872499999999967 46.61797930000000889);596172362;1.0;;110000;0;;;47,63
LineString (13.27878270000000072 46.61780149999999878, 13.27882609999999985 46.61781419999999798, 13.27896830000000072 46.61785559999999862, 13.27900859999999916 46.6178673999999944);596172361;1.0;;110000;0;;;18,79
LineString (14.95525579999999977 46.63393450000000229, 14.95528919999999751 46.63391779999999898, 14.95553090000000118 46.63379670000000488, 14.95556829999999948 46.63377789999999123);593152352;1.0;;110000;0;;;29,58
LineString (14.95539439999999942 46.63366820000000956, 14.95543979999999884 46.63371080000000291, 14.95553090000000118 46.63379670000000488, 14.9555870000000013 46.63384950000000373, 14.9556527999999993 46.63391140000000235);593152351;1.0;;110000;0;;;33,49
LineString (14.95517399999999952 46.63381289999999524, 14.95528919999999751 46.63391779999999898, 14.95542080000000063 46.6340375999999992);593152350;1.0;;110000;0;;;31,31
LineString (13.05185439999999986 46.9772164000000032, 13.05174590000000023 46.97729980000000438);592849042;1.0;;110000;0;;KELAG;12,41
LineString (13.05232640000000011 46.97772700000000867, 13.05215950000000014 46.97776259999999837);592849039;1.0;;110000;0;;KELAG;13,3
LineString (13.05223259999999819 46.97763179999999039, 13.05211380000000077 46.97771160000001345);592849037;1.0;;110000;0;;KELAG;12,66
LineString (13.10997780000000112 46.93444310000000286, 13.1097791000000008 46.93439199999999545, 13.10966350000000169 46.93436219999999537);592855528;1.0;;110000;0;;;25,56
LineString (13.11002610000000068 46.93435700000000566, 13.10983049999999928 46.9343076000000039, 13.10970979999999919 46.93427710000000275);592855525;1.0;;110000;0;;;25,67
LineString (13.11007039999999968 46.93428009999999517, 13.10987079999999949 46.93423099999999692, 13.10975100000000104 46.93420150000000746);592855522;1.0;;110000;0;;;25,84
LineString (13.05163579999999968 46.97732349999999713, 13.05165339999999929 46.97734229999999656, 13.05169880000000049 46.9773907999999949, 13.05180370000000245 46.9775028999999833, 13.05187639999999938 46.97758060000001024, 13.05188580000000087 46.9775905999999992, 13.05203200000000052 46.97774679999999847, 13.0520782999999998 46.97779620000000023, 13.05209310000000045 46.97781209999999419);592849043;1.0;;110000;0;;;64,5
LineString (13.11122229999999966 46.93399769999999194, 13.11019510000000032 46.93395319999999771);592855541;1.0;KW Außerfragant - KW Malta-Hauptstufe;110000;0;115/3B;KNG-Kärnten Netz GmbH;78,37
LineString (13.11024549999999955 46.93387170000000452, 13.11122229999999966 46.93399769999999194);592855538;1.0;KW Außerfragant - KW Malta-Hauptstufe;110000;0;115/4C;KNG-Kärnten Netz GmbH;75,68
LineString (13.1098934000000007 46.93459699999998236, 13.10969880000000032 46.93454770000000309, 13.10957900000000009 46.934517299999996);592855535;1.0;;110000;0;;;25,52
LineString (13.10994160000000086 46.93451910000000282, 13.10974140000000077 46.9344662000000028, 13.10962380000000138 46.93443509999999463);592855531;1.0;;110000;0;;;25,94
LineString (13.10955279999999945 46.93323329999999061, 13.10987270000000038 46.93358740000000751);592855554;1.0;KW Außerfragant - KW Wölla / KW Zirknitz / UW Oberdrauburg;110000;0;;KNG-Kärnten Netz GmbH;46,29
LineString (13.10982759999999914 46.9336669999999998, 13.10955279999999945 46.93323329999999061);592855551;1.0;KW Außerfragant - KW Wölla / KW Zirknitz / UW Oberdrauburg;110000;0;;KNG-Kärnten Netz GmbH;52,55
LineString (13.1111102000000006 46.93433120000000969, 13.11011030000000055 46.93410709999999142);592855548;1.0;KW Innerfragant - KW Außerfragant;110000;0;;KELAG;80,1
LineString (13.1111102000000006 46.93433120000000969, 13.11015620000000048 46.93402739999999795);592855544;1.0;KW Innerfragant - KW Außerfragant;110000;0;;KELAG;80,1
LineString (14.39575950000000226 46.5451583000000042, 14.39576540000000016 46.54512259999999912, 14.39577080000000109 46.54509029999999115);755462006;1.0;;110000;0;;;7,61
LineString (14.39562699999999928 46.54510890000000956, 14.39576540000000016 46.54512259999999912, 14.39586249999999978 46.54513220000000473);755462005;1.0;;110000;0;;;18,24
LineString (13.53540160000000192 46.91329619999999068, 13.53542850000000008 46.91322690000000506, 13.53545420000000199 46.91316090000000116);702249058;1.0;;110000;0;;;15,56
LineString (13.53549300000000066 46.91331209999999885, 13.53552080000000046 46.91324449999999047, 13.53554819999999914 46.91317800000000204);702249057;1.0;;110000;0;;;15,49
LineString (14.53844449999999888 46.84140840000000594, 14.53838969999999975 46.8414039000000102, 14.53820600000000063 46.84138859999999482);684637607;1.0;;110000;0;;;18,32
LineString (14.53359440000000014 46.84156640000001204, 14.53821860000000044 46.84128700000000123);684637606;1.0;;110000;1;114/5;KNG-Kärnten Netz GmbH;353,97
