WKT;full_id;osm_id;osm_type;generator_;generato_1;generato_2;generato_3;power;ref;generato_4;barrier;name;ele;plant_sour;access;constructi;height;operator;entrance;waterway;proposed;plant_meth;plant_outp;disused;man_made;location_t;marker;mount;pipeline_r;position;substance;utility;start_date;website;wikidata;maxheight;maxwidth;construc_1;height_hub;manufactur;manufact_1;rotor_diam;amenity;hiking;informatio;map_size;map_type;tourism;frequency;voltage;camera_ang;camera_dir;camera_mou;camera_typ;operator_t;surveillan;surveill_1;surveill_2
POINT (17.0237198 47.8198777);n2123478232;2123478232;node;wind_turbine;;3 MW;wind;generator;PSP015;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0292419 47.8213878);n2123478235;2123478235;node;wind_turbine;;3 MW;wind;generator;W-07265-014;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.049887 47.8213211);n2123478236;2123478236;node;wind_turbine;;3 MW;wind;generator;W-07265-005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0433921 47.8221979);n2123478239;2123478239;node;wind_turbine;;3 MW;wind;generator;W-07265-004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0350113 47.8229747);n2123478240;2123478240;node;wind_turbine;;3 MW;wind;generator;W-07265-015;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0529259 47.8229369);n2123478241;2123478241;node;wind_turbine;;3 MW;wind;generator;W-07265-006;;;;123,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0211875 47.823866);n2123478242;2123478242;node;wind_turbine;;3 MW;wind;generator;PSP012;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0560356 47.8240949);n2123478244;2123478244;node;wind_turbine;;3 MW;wind;generator;W-07265-007;;;;124,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0267089 47.8253913);n2123478245;2123478245;node;wind_turbine;;3 MW;wind;generator;PSP013;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0405623 47.8255139);n2123478247;2123478247;node;wind_turbine;;3 MW;wind;generator;W-07265-002;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0124038 47.8262357);n2123478248;2123478248;node;wind_turbine;;3 MW;wind;generator;PSP005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0493988 47.8266562);n2123478249;2123478249;node;wind_turbine;;3 MW;wind;generator;W-07265-003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
