full_id;osm_id;osm_type;frequency;landuse;location;name;operator;power;substation;voltage;addr:city;addr:country;addr:housename;addr:housenumber;addr:postcode;addr:street;building;int_name;old_name;building:levels;barrier;height;ref;roof:shape;man_made;street_cabinet;building:material;roof:levels;roof:material;emergency;building:colour;at_bev:addr_date;source:location;addr:place;transformer;railway:position:exact;gas_insulated;building:part;material;phone;fence_type;name:old;rating;start_date;description;local_wiki;plant:output:electricity;plant:source;wikidata;plant:method;generator:type;wikipedia;plant:output:heat;official_name;addr:hamlet;plant:output:hot_water;alt_name
319178647;way;;;;UW Johannisthal (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
446761133;way;;;;UW Kematen an der Krems (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337239506;way;;;;UW Kematen im Innbach (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175022770;way;50;;indoor;UW Kirchberg bei Mattighofen (i.B.);Netz OÖ;substation;distribution;;;;;;;;transformer_tower;;;;;9;Sauldorf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408540163;way;;;;UW Kleinreifling (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408540091;way;;;;UW Kleinreifling 2 (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
365493403;way;50;;outdoor;UW Kraftwerk Passau (i.B.);;substation;transition;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;113;;;;;;;;;;;;;;;;;;;
258540847;way;;;;UW Kronstorf Mitte (i.B.);;substation;distribution;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143970704;way;;;;UW Laakirchen 2 (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144017171;way;;;;UW Laakirchen 3 (i.B.);OKA;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
501980352;way;;;;UW Laakirchen 4 (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
499008312;way;;;;UW Laakirchen Süd (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
557742425;way;;;;UW Laakirchen Weinberg (i.B.);;substation;distribution;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204882157;way;;;;UW Laakirchen-Sandhäuslberg (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
305217693;way;;;;UW Lambach Mitte (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
306636204;way;;;;UW Lambach West (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87526678;way;50;;outdoor;UW Marchtrenk - Süd (i.B.);;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;
